date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,1,1,0,1
2020-03-01,1,1,0,1
2020-03-02,1,1,0,1
2020-03-03,1,1,0,1
2020-03-04,1,1,0,1
2020-03-05,1,1,0,1
2020-03-06,2,2,0,2
2020-03-07,2,2,0,2
2020-03-08,3,3,0,3
2020-03-09,3,3,0,3
2020-03-10,5,5,0,5
2020-03-11,7,7,0,7
2020-03-12,19,19,0,19
2020-03-13,34,34,0,34
2020-03-14,51,50,1,50
2020-03-15,59,58,1,58
2020-03-16,77,76,1,76
2020-03-17,140,139,1,139
2020-03-18,203,201,2,201
2020-03-19,335,331,4,331
2020-03-20,484,480,4,480
2020-03-21,670,662,8,662
2020-03-22,798,790,8,784
2020-03-23,875,867,8,861
2020-03-24,1099,1091,8,1085
2020-03-25,1333,1325,8,1319
2020-03-26,1453,1444,9,1438
2020-03-27,1605,1590,15,1550
2020-03-28,1831,1813,18,1773
2020-03-29,1950,1929,21,1889
2020-03-30,1988,1966,22,1926
2020-03-31,2178,2155,23,2075
2020-04-01,2319,2290,29,2210
