date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,1,1,0,1
2020-02-29,4,4,0,4
2020-03-01,5,5,0,5
2020-03-02,5,5,0,5
2020-03-03,5,5,0,4
2020-03-04,5,5,0,4
2020-03-05,5,5,0,4
2020-03-06,6,6,0,5
2020-03-07,6,6,0,5
2020-03-08,7,7,0,6
2020-03-09,7,7,0,6
2020-03-10,7,7,0,3
2020-03-11,8,8,0,4
2020-03-12,12,12,0,8
2020-03-13,26,26,0,22
2020-03-14,41,41,0,37
2020-03-15,53,53,0,49
2020-03-16,82,82,0,78
2020-03-17,93,93,0,89
2020-03-18,118,118,0,114
2020-03-19,164,163,1,159
2020-03-20,203,201,2,197
2020-03-21,251,249,2,245
2020-03-22,316,313,3,309
2020-03-23,367,363,4,359
2020-03-24,405,400,5,396
2020-03-25,475,469,6,465
2020-03-26,585,577,8,573
2020-03-27,717,705,12,701
2020-03-28,848,832,16,828
2020-03-29,993,973,20,969
2020-03-30,1094,1066,28,1031
2020-03-31,1215,1186,29,1151
2020-04-01,1378,1341,37,1306
2020-04-02,1510,1460,50,1425
