date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,1,0,0,1
2020-01-28,3,0,0,3
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,1,0,0,1
2020-02-01,3,0,0,3
2020-02-02,2,0,0,2
2020-02-03,2,0,0,2
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,1,0,0,1
2020-02-08,0,0,0,0
2020-02-09,1,0,0,1
2020-02-10,0,0,0,0
2020-02-11,2,0,0,2
2020-02-12,0,0,0,0
2020-02-13,0,0,0,-1
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,-11
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,-2
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,5,1,0,4
2020-02-27,5,1,0,4
2020-02-28,27,0,0,27
2020-02-29,13,0,0,13
2020-03-01,51,0,0,51
2020-03-02,33,0,0,33
2020-03-03,38,0,0,38
2020-03-04,74,0,0,74
2020-03-05,138,0,0,138
2020-03-06,239,1,0,238
2020-03-07,156,1,0,155
2020-03-08,107,0,0,107
2020-03-09,237,0,2,235
2020-03-10,157,0,0,157
2020-03-11,271,7,1,263
2020-03-12,802,0,2,800
2020-03-13,693,21,0,672
2020-03-14,733,0,3,730
2020-03-15,1043,0,4,1039
2020-03-16,1174,21,1,1152
2020-03-17,1144,-1,-1,1145
2020-03-18,1042,38,0,1004
2020-03-19,2801,8,8,2785
2020-03-20,2958,67,11,2880
2020-03-21,2705,53,16,2636
2020-03-22,1948,33,8,1907
2020-03-23,4062,0,31,4031
2020-03-24,4764,2977,28,1759
2020-03-25,4118,304,35,3779
2020-03-26,4954,2126,49,2779
2020-03-27,5780,985,55,4740
2020-03-28,6294,1823,72,4399
2020-03-29,3965,730,64,3171
2020-03-30,4751,4289,66,396
2020-03-31,4615,2600,128,1887
