date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,1,1,0,1
2020-03-07,1,1,0,1
2020-03-08,1,1,0,1
2020-03-09,1,1,0,1
2020-03-10,3,3,0,3
2020-03-11,9,9,0,9
2020-03-12,9,9,0,9
2020-03-13,13,13,0,13
2020-03-14,22,22,0,22
2020-03-15,34,34,0,34
2020-03-16,57,57,0,57
2020-03-17,75,75,0,74
2020-03-18,102,102,0,101
2020-03-19,108,108,0,107
2020-03-20,158,158,0,157
2020-03-21,196,196,0,195
2020-03-22,231,229,2,226
2020-03-23,277,274,3,271
2020-03-24,378,375,3,369
2020-03-25,470,466,4,458
2020-03-26,491,485,6,477
2020-03-27,539,533,6,523
2020-03-28,608,602,6,592
2020-03-29,702,692,10,682
2020-03-30,798,786,12,771
2020-03-31,906,890,16,859
2020-04-01,1065,1048,17,1009
2020-04-02,1161,1142,19,1087
2020-04-03,1267,1242,25,1187
