date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,1,1,0,1
2020-01-30,1,1,0,1
2020-01-31,1,1,0,1
2020-02-01,1,1,0,1
2020-02-02,1,1,0,1
2020-02-03,1,1,0,1
2020-02-04,1,1,0,1
2020-02-05,1,1,0,1
2020-02-06,1,1,0,1
2020-02-07,1,1,0,1
2020-02-08,1,1,0,1
2020-02-09,1,1,0,1
2020-02-10,1,1,0,1
2020-02-11,2,2,0,2
2020-02-12,2,2,0,1
2020-02-13,2,2,0,1
2020-02-14,2,2,0,1
2020-02-15,2,2,0,1
2020-02-16,2,2,0,1
2020-02-17,2,2,0,1
2020-02-18,2,2,0,1
2020-02-19,2,2,0,1
2020-02-20,2,2,0,1
2020-02-21,2,2,0,1
2020-02-22,2,2,0,1
2020-02-23,3,3,0,2
2020-02-24,3,3,0,2
2020-02-25,3,3,0,2
2020-02-26,4,4,0,3
2020-02-27,4,4,0,3
2020-02-28,5,5,0,4
2020-02-29,8,8,0,7
2020-03-01,9,9,0,8
2020-03-02,10,10,0,9
2020-03-03,10,10,0,9
2020-03-04,14,14,0,13
2020-03-05,20,20,0,19
2020-03-06,21,21,0,20
2020-03-07,28,27,1,26
2020-03-08,35,34,1,33
2020-03-09,44,43,1,42
2020-03-10,61,60,1,59
2020-03-11,115,114,1,113
2020-03-12,191,190,1,189
2020-03-13,251,250,1,249
2020-03-14,279,277,2,276
2020-03-15,308,305,3,295
2020-03-16,361,358,3,348
2020-03-17,413,409,4,399
2020-03-18,460,454,6,444
2020-03-19,550,544,6,534
2020-03-20,649,642,7,632
2020-03-21,736,728,8,718
2020-03-22,823,813,10,803
2020-03-23,901,890,11,880
2020-03-24,985,970,15,960
2020-03-25,1084,1068,16,1058
2020-03-26,1188,1167,21,1157
2020-03-27,1301,1276,25,1266
2020-03-28,1396,1369,27,1359
2020-03-29,1473,1442,31,1432
2020-03-30,1543,1502,41,1492
2020-03-31,1672,1621,51,1611
2020-04-01,1797,1739,58,1729
