date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,1,1,0,1
2020-02-28,1,1,0,1
2020-02-29,1,1,0,1
2020-03-01,1,1,0,1
2020-03-02,1,1,0,1
2020-03-03,2,2,0,2
2020-03-04,2,2,0,2
2020-03-05,3,3,0,3
2020-03-06,10,10,0,10
2020-03-07,10,10,0,10
2020-03-08,10,10,0,10
2020-03-09,10,10,0,10
2020-03-10,12,12,0,12
2020-03-11,16,16,0,16
2020-03-12,16,16,0,16
2020-03-13,79,79,0,79
2020-03-14,115,115,0,115
2020-03-15,171,171,0,170
2020-03-16,205,205,0,204
2020-03-17,225,225,0,224
2020-03-18,258,258,0,257
2020-03-19,267,267,0,266
2020-03-20,283,283,0,282
2020-03-21,306,306,0,305
2020-03-22,326,326,0,324
2020-03-23,352,352,0,350
2020-03-24,369,369,0,362
2020-03-25,404,403,1,395
2020-03-26,538,537,1,529
2020-03-27,575,574,1,563
2020-03-28,645,644,1,624
2020-03-29,679,676,3,656
2020-03-30,715,712,3,692
2020-03-31,745,741,4,715
2020-04-01,779,774,5,741
2020-04-02,858,847,11,802
2020-04-03,961,949,12,901
