date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,1,1,0,1
2020-03-05,1,1,0,1
2020-03-06,1,1,0,1
2020-03-07,1,1,0,1
2020-03-08,1,1,0,1
2020-03-09,1,1,0,1
2020-03-10,1,1,0,1
2020-03-11,3,3,0,3
2020-03-12,4,4,0,3
2020-03-13,5,5,0,4
2020-03-14,7,7,0,6
2020-03-15,11,11,0,10
2020-03-16,14,14,0,13
2020-03-17,19,19,0,18
2020-03-18,25,25,0,24
2020-03-19,34,34,0,33
2020-03-20,36,36,0,35
2020-03-21,44,44,0,40
2020-03-22,46,46,0,42
2020-03-23,48,48,0,43
2020-03-24,51,51,0,44
2020-03-25,53,53,0,46
2020-03-26,57,57,0,45
2020-03-27,61,61,0,42
2020-03-28,62,62,0,34
2020-03-29,63,63,0,35
2020-03-30,65,65,0,28
2020-03-31,69,69,0,25
2020-04-01,73,73,0,27
2020-04-02,76,76,0,26
2020-04-03,78,78,0,27
