date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,1,1,0,1
2020-03-03,1,1,0,1
2020-03-04,1,1,0,1
2020-03-05,1,1,0,1
2020-03-06,1,1,0,1
2020-03-07,1,1,0,1
2020-03-08,2,2,0,2
2020-03-09,6,6,0,6
2020-03-10,8,8,0,7
2020-03-11,10,10,0,9
2020-03-12,10,10,0,9
2020-03-13,17,17,0,16
2020-03-14,26,26,0,25
2020-03-15,30,30,0,29
2020-03-16,34,34,0,33
2020-03-17,49,49,0,48
2020-03-18,71,71,0,70
2020-03-19,86,86,0,85
2020-03-20,111,111,0,110
2020-03-21,124,124,0,123
2020-03-22,139,139,0,138
2020-03-23,180,180,0,179
2020-03-24,197,197,0,196
2020-03-25,221,221,0,220
2020-03-26,244,244,0,243
2020-03-27,280,280,0,279
2020-03-28,305,305,0,304
2020-03-29,347,347,0,346
2020-03-30,376,376,0,375
2020-03-31,398,398,0,397
2020-04-01,446,446,0,445
2020-04-02,458,458,0,427
2020-04-03,493,492,1,491
