date,confirmed,recovered,deaths,active
2020-01-22,2,2,0,2
2020-01-23,2,2,0,2
2020-01-24,2,2,0,2
2020-01-25,2,2,0,2
2020-01-26,4,4,0,3
2020-01-27,4,4,0,3
2020-01-28,7,7,0,6
2020-01-29,7,7,0,6
2020-01-30,11,11,0,10
2020-01-31,15,15,0,14
2020-02-01,20,20,0,19
2020-02-02,20,20,0,19
2020-02-03,20,20,0,19
2020-02-04,22,22,0,21
2020-02-05,23,23,0,22
2020-02-06,23,23,0,22
2020-02-07,23,23,0,22
2020-02-08,24,24,0,23
2020-02-09,24,24,0,23
2020-02-10,26,26,0,22
2020-02-11,27,27,0,18
2020-02-12,28,28,0,19
2020-02-13,33,32,1,23
2020-02-14,43,42,1,33
2020-02-15,54,53,1,41
2020-02-16,60,59,1,47
2020-02-17,67,66,1,54
2020-02-18,79,77,2,64
2020-02-19,85,83,2,65
2020-02-20,95,93,2,75
2020-02-21,112,110,2,88
2020-02-22,137,135,2,113
2020-02-23,149,147,2,125
2020-02-24,160,158,2,136
2020-02-25,173,170,3,148
2020-02-26,192,189,3,167
2020-02-27,218,214,4,192
2020-02-28,236,231,5,209
2020-02-29,245,239,6,207
2020-03-01,259,253,6,221
2020-03-02,278,272,6,240
2020-03-03,298,292,6,249
2020-03-04,333,326,7,283
2020-03-05,365,358,7,315
2020-03-06,420,413,7,367
2020-03-07,466,459,7,383
2020-03-08,499,491,8,415
2020-03-09,527,517,10,441
2020-03-10,585,572,13,471
2020-03-11,640,625,15,507
2020-03-12,696,677,19,559
2020-03-13,733,712,21,594
2020-03-14,795,773,22,655
2020-03-15,826,802,24,684
2020-03-16,843,813,30,669
2020-03-17,893,863,30,719
2020-03-18,928,896,32,752
2020-03-19,968,935,33,785
2020-03-20,1022,988,34,797
2020-03-21,1059,1023,36,791
2020-03-22,1104,1064,40,829
2020-03-23,1144,1103,41,868
2020-03-24,1217,1175,42,890
2020-03-25,1314,1269,45,959
2020-03-26,1416,1369,47,1010
2020-03-27,1530,1477,53,1105
2020-03-28,1728,1672,56,1268
2020-03-29,1907,1844,63,1420
2020-03-30,2001,1936,65,1512
2020-03-31,2255,2188,67,1764
2020-04-01,2535,2463,72,1991
2020-04-02,2818,2743,75,2271
2020-04-03,3154,3073,81,2559
2020-04-04,3525,3438,87,2924
2020-04-05,3876,3783,93,3269
2020-04-06,4110,4014,96,3439
2020-04-07,4485,4387,98,3795
2020-04-08,5020,4915,105,4293
2020-04-09,5614,5501,113,4869
2020-04-10,6250,6125,125,5440
2020-04-11,6951,6813,138,6051
2020-04-12,7473,7326,147,6564
2020-04-13,7773,7617,156,6833
