date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,1,1,0,1
2020-03-12,1,1,0,1
2020-03-13,2,2,0,2
2020-03-14,2,2,0,2
2020-03-15,2,2,0,2
2020-03-16,2,2,0,2
2020-03-17,3,3,0,3
2020-03-18,4,4,0,4
2020-03-19,14,14,0,14
2020-03-20,18,18,0,18
2020-03-21,23,22,1,22
2020-03-22,30,29,1,29
2020-03-23,36,35,1,35
2020-03-24,45,43,2,43
2020-03-25,48,46,2,46
2020-03-26,51,48,3,48
2020-03-27,51,48,3,46
2020-03-28,65,59,6,57
2020-03-29,65,59,6,57
2020-03-30,81,73,8,71
2020-03-31,98,90,8,88
2020-04-01,109,100,9,97
2020-04-02,134,121,13,118
2020-04-03,134,121,13,118
