date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,1,1
2020-01-31,2,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,1,-1
2020-02-03,6,0,0,6
2020-02-04,0,0,0,0
2020-02-05,1,0,0,1
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,4,0,0,4
2020-02-09,1,0,0,1
2020-02-10,0,0,0,0
2020-02-11,1,0,0,1
2020-02-12,1,1,0,0
2020-02-13,1,0,0,1
2020-02-14,1,0,0,1
2020-02-15,0,0,0,0
2020-02-16,0,7,0,-7
2020-02-17,1,0,0,1
2020-02-18,0,0,0,0
2020-02-19,1,0,0,1
2020-02-20,2,0,0,2
2020-02-21,1,0,0,1
2020-02-22,0,0,1,-1
2020-02-23,5,0,0,5
2020-02-24,2,0,0,2
2020-02-25,4,0,0,4
2020-02-26,3,0,0,3
2020-02-27,7,0,0,7
2020-02-28,12,0,0,12
2020-02-29,5,0,0,5
2020-03-01,33,0,0,33
2020-03-02,40,0,1,39
2020-03-03,55,0,0,55
2020-03-04,57,0,1,56
2020-03-05,49,0,2,47
2020-03-06,79,0,2,77
2020-03-07,55,10,0,45
2020-03-08,54,0,2,52
2020-03-09,147,0,5,142
2020-03-10,258,1,3,254
2020-03-11,411,0,7,404
2020-03-12,489,0,13,476
2020-03-13,480,0,16,464
2020-03-14,364,0,21,343
2020-03-15,442,0,31,411
2020-03-16,612,2,52,558
2020-03-17,770,32,58,680
2020-03-18,1006,15,74,917
2020-03-19,1061,0,79,982
2020-03-20,1255,0,118,1137
2020-03-21,1197,0,144,1053
2020-03-22,1423,-1,182,1242
2020-03-23,2349,0,208,2141
2020-03-24,2392,73,263,2056
2020-03-25,2708,0,337,2371
2020-03-26,3111,10,413,2688
2020-03-27,3245,1,464,2780
2020-03-28,2852,0,516,2336
2020-03-29,2894,0,586,2308
2020-03-30,4302,20,713,3569
2020-03-31,4537,8,831,3698
2020-04-01,4967,0,925,4042
