date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,2,0,0,2
2020-01-24,1,0,0,1
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,1,0,0,1
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,1,0,0,1
2020-02-05,1,0,0,1
2020-02-06,0,0,0,0
2020-02-07,2,0,0,2
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,1,0,0,1
2020-02-11,0,0,0,0
2020-02-12,0,1,0,-1
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,1,0,0,1
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,1,0,0,1
2020-02-21,2,2,0,0
2020-02-22,1,0,0,1
2020-02-23,1,0,0,1
2020-02-24,1,0,0,1
2020-02-25,3,0,0,3
2020-02-26,1,0,0,1
2020-02-27,2,3,0,-1
2020-02-28,6,0,0,6
2020-02-29,5,0,0,5
2020-03-01,5,0,0,5
2020-03-02,7,0,0,7
2020-03-03,6,0,0,6
2020-03-04,8,0,0,8
2020-03-05,12,0,0,12
2020-03-06,19,0,0,19
2020-03-07,8,2,0,6
2020-03-08,22,0,0,22
2020-03-09,24,0,1,23
2020-03-10,21,0,0,21
2020-03-11,63,0,0,63
2020-03-12,61,0,0,61
2020-03-13,97,0,0,97
2020-03-14,67,0,0,67
2020-03-15,96,0,0,96
2020-03-16,151,1,3,147
2020-03-17,154,0,2,152
2020-03-18,243,0,5,238
2020-03-19,252,0,1,251
2020-03-20,343,0,3,340
2020-03-21,503,1,3,499
2020-03-22,457,0,4,453
2020-03-23,646,0,7,639
2020-03-24,699,100,5,594
2020-03-25,573,73,13,487
2020-03-26,941,1,12,928
2020-03-27,869,72,7,790
2020-03-28,930,210,17,703
2020-03-29,936,0,15,921
2020-03-30,1232,0,19,1213
2020-03-31,1233,1126,35,72
2020-04-01,1312,-268,23,1557
2020-04-02,1719,411,49,1259
2020-04-03,1332,440,53,839
2020-04-04,1336,402,83,851
2020-04-05,1189,435,75,679
2020-04-06,1501,244,68,1189
2020-04-07,1388,535,78,775
2020-04-08,1236,363,89,784
2020-04-09,1380,1008,103,269
2020-04-10,1144,693,94,357
2020-04-11,1376,734,119,523
2020-04-12,1342,534,109,699
2020-04-13,1797,635,130,1032
2020-04-14,1689,452,136,1101
2020-04-15,1747,756,154,837
2020-04-16,1766,732,136,898
2020-04-17,2126,847,147,1132
2020-04-18,1526,419,139,968
2020-04-19,1700,883,170,647
2020-04-20,1712,696,144,872
2020-04-21,1590,645,161,784
2020-04-22,1846,1266,164,416
2020-04-23,1809,307,181,1321
2020-04-24,1640,388,174,1078
2020-04-25,1582,864,181,537
2020-04-26,1211,870,137,204
2020-04-27,1656,1385,179,92
2020-04-28,1523,963,207,353
2020-04-29,1689,1096,208,385
2020-04-30,1639,1097,212,330
2020-05-01,1811,1340,181,290
2020-05-02,1356,1050,176,130
2020-05-03,1259,1107,146,6
2020-05-04,1376,1109,206,61
2020-05-05,1395,976,172,247
2020-05-06,1516,1178,172,166
2020-05-07,1271,1076,148,47
2020-05-08,1200,979,158,63
2020-05-09,1146,1023,162,-39
2020-05-10,1038,847,128,63
2020-05-11,1024,898,132,-6
2020-05-12,1117,1048,143,-74
2020-05-13,1227,1122,112,-7
2020-05-14,1110,927,122,61
2020-05-15,1271,804,124,343
2020-05-16,1155,924,115,116
2020-05-17,1208,731,90,387
2020-05-18,1086,688,95,303
2020-05-19,1002,818,77,107
2020-05-20,1256,724,118,414
2020-05-21,1115,938,101,76
2020-05-22,1090,877,103,110
2020-05-23,907,710,93,104
2020-05-24,953,680,89,184
2020-05-25,964,653,94,217
2020-05-26,767,701,88,-22
2020-05-27,885,896,97,-108
2020-05-28,787,713,117,-43
2020-05-29,1069,944,100,25
2020-05-30,762,612,58,92
2020-05-31,730,696,56,-22
2020-06-01,796,878,47,-129
2020-06-02,627,634,51,-58
2020-06-03,682,781,56,-155
2020-06-04,582,678,65,-161
2020-06-05,527,890,45,-408
2020-06-06,524,1013,60,-549
2020-06-07,412,588,41,-217
2020-06-08,451,668,46,-263
2020-06-09,434,774,36,-376
2020-06-10,490,1098,30,-638
2020-06-11,412,916,32,-536
2020-06-12,461,903,30,-472
2020-06-13,341,817,28,-504
2020-06-14,302,817,23,-538
2020-06-15,377,798,27,-448
2020-06-16,359,433,19,-93
2020-06-17,388,1381,21,-1014
2020-06-18,406,502,10,-106
2020-06-19,388,536,24,-172
2020-06-20,315,508,35,-228
2020-06-21,308,423,21,-136
2020-06-22,355,472,14,-131
2020-06-23,318,414,24,-120
2020-06-24,320,398,28,-106
2020-06-25,294,336,20,-62
2020-06-26,327,313,7,7
2020-06-27,402,263,12,127
2020-06-28,313,244,10,59
2020-06-29,296,1009,17,-730
2020-06-30,334,422,15,-103
2020-07-01,222,277,10,-65
2020-07-02,349,475,17,-143
2020-07-03,318,360,6,-48
2020-07-04,228,275,9,-56
2020-07-05,157,265,5,-113
2020-07-06,352,369,13,-30
2020-07-07,313,277,8,28
2020-07-08,321,387,17,-83
2020-07-09,334,290,11,33
2020-07-10,348,371,11,-34
2020-07-11,240,318,9,-87
2020-07-12,214,170,4,40
2020-07-13,542,427,8,107
2020-07-14,426,332,4,90
2020-07-15,406,354,14,38
2020-07-16,482,366,11,105
2020-07-17,529,23848,13,-23332
2020-07-18,384,155,4,225
2020-07-19,253,128,4,121
2020-07-20,795,411,4,380
2020-07-21,460,273,5,182
2020-07-22,382,253,5,124
2020-07-23,736,436,8,292
2020-07-24,437,567,6,-136
2020-07-25,336,261,3,72
2020-07-26,307,204,4,99
2020-07-27,631,478,13,140
2020-07-28,377,239,9,129
2020-07-29,501,306,5,190
2020-07-30,446,352,13,81
2020-07-31,452,562,6,-116
2020-08-01,254,166,4,84
2020-08-02,184,129,3,52
2020-08-03,267,83,0,184
2020-08-04,689,774,9,-94
2020-08-05,358,319,5,34
2020-08-06,333,301,7,25
2020-08-07,442,450,5,-13
2020-08-08,239,127,3,109
2020-08-09,223,165,4,54
2020-08-10,583,2630,7,-2054
2020-08-11,362,415,6,-59
2020-08-12,333,364,5,-36
2020-08-13,494,431,5,58
2020-08-14,412,397,4,11
2020-08-15,210,276,6,-72
2020-08-16,175,269,5,-99
2020-08-17,204,231,2,-29
2020-08-18,903,659,13,231
2020-08-19,355,467,5,-117
2020-08-20,246,252,3,-9
2020-08-21,705,570,14,121
2020-08-22,203,240,1,-38
2020-08-23,263,215,4,44
